WSAID	PLANTID	start	end
1193	82753	1978	2019
1194	82752	1978	2019
1195	82756	1978	2019
1196	82755	1978	2019
1197	82858	1978	2019
1198	83014	1978	2019
1199	83018	1978	2019
1200	83015	1978	2019
1201	83019	1978	2019
1202	83020	1978	2019
1203	83016	1978	2019
1203	83017	1978	2019
1204	82851	1978	2019
1204	185406	1978	2019
1205	82852	1978	2019
1205	82853	1978	2019
1205	82854	1978	2019
1205	82857	1978	2019
1206	82855	1978	2019
1207	82856	1978	2019
1208	81062	1978	2001
1208	82439	1978	2001
1208	82440	1978	2001
1208	82441	1978	2001
1208	82442	1978	2001
1208	82443	1978	2001
1208	82444	1978	2001
1208	82446	1978	2001
1208	82447	1978	2001
1209	82971	1978	2019
1210	82972	1978	2019
1211	82973	1978	2019
1212	82975	1978	2019
1213	82974	1978	2019
1213	82977	1978	2019
1214	82976	1978	2019
1215	82445	1978	2001
1216	81060	1978	2019
1217	81063	1978	2019
1218	81059	1978	2019
1219	81061	1978	2019
1220	81293	1978	2019
1221	82497	1978	2019
1221	82499	1978	2019
1222	82496	1978	2019
1223	82498	1978	2019
1224	81298	1978	2019
1225	81279	2002	2019
1225	81280	2002	2019
1225	81281	2002	2019
1225	81282	2002	2019
1225	81283	2002	2019
1225	81287	2002	2019
1225	81288	2002	2019
1225	81289	2002	2019
1225	81297	2002	2019
1225	81301	2002	2019
1226	81290	1978	2019
1227	81299	1978	2019
1228	81284	1978	2019
1228	81291	1978	2019
1229	81303	1978	2019
1230	81296	1978	2019
1231	81295	1978	2019
1232	81294	1978	2019
1233	81292	1978	2019
1234	81725	2000	2019
1234	81729	2000	2019
1234	81730	2000	2019
1234	81731	2000	2019
1234	81732	2000	2019
1234	81733	2000	2019
1234	81735	2000	2019
1234	81738	2000	2019
1235	81545	1978	2019
1236	81546	1978	2019
1237	81541	1978	2019
1237	81550	1978	2019
1238	81536	1978	2019
1239	81542	1978	2019
1240	81540	1978	2019
1241	81538	1978	2019
1242	81543	2000	2019
1242	81544	2000	2019
1242	81547	2000	2019
1242	81548	2000	2019
1242	81549	2000	2019
1243	81532	1993	2000
1243	167849	1993	2000
1244	81736	1978	2019
1244	82820	1978	2019
1245	81539	1978	2019
1246	81595	1983	2019
1246	81596	1983	2019
1246	81597	1983	2019
1246	81598	1983	2019
1246	81599	1983	2019
1247	56132	1978	2019
1248	56125	1978	2019
1249	56130	1978	2019
1250	56137	1978	2019
1251	56136	1978	2019
1252	56123	1978	2019
1253	56128	1978	2019
1254	56134	1978	2019
1255	56121	1978	2019
1256	56122	2003	2019
1256	56129	2003	2019
1257	55677	1978	2019
1258	56124	1978	2019
1259	56120	1978	2019
1259	180758	1978	2019
1260	56131	1978	2019
1261	56135	1978	2019
1262	56127	1978	2019
1263	55624	1978	2019
1263	55628	1978	2019
1264	55683	1978	2019
1265	55681	1978	2019
1266	55682	1978	2019
1267	156336	1978	2019
1268	55678	1978	2019
1269	55680	1978	2019
1270	55684	1978	2019
1271	55675	1978	2019
1272	55590	2008	2019
1272	55591	2008	2019
1272	55593	2008	2019
1272	55679	2008	2019
1273	55592	1978	2019
1273	56177	1978	2019
1274	56178	1978	2019
1275	55627	1978	2019
1276	55629	2003	2019
1276	55791	2003	2019
1276	55792	2003	2019
1276	56164	2003	2019
1276	56166	2003	2019
1276	56167	2003	2019
1277	61750	1995	2019
1277	61751	1995	2019
1277	61752	1995	2019
1277	61824	1995	2019
1277	61856	1995	2019
1277	61880	1995	2019
1277	61890	1995	2019
1278	61754	1999	2019
1278	61804	1999	2019
1278	61853	1999	2019
1278	61862	1999	2019
1278	61863	1999	2019
1278	61865	1999	2019
1278	62091	1999	2019
1279	61827	1978	2019
1280	61806	1978	2019
1280	61830	1978	2019
1280	61885	1978	2019
1281	61884	1978	2019
1281	61888	1978	2019
1282	61807	1978	2019
1283	61832	1997	2019
1283	61854	1997	2019
1283	61887	1997	2019
1284	61808	1978	2019
1284	61816	1978	2019
1285	61749	1978	2019
1285	61889	1978	2019
1286	61809	1995	2019
1286	61815	1995	2019
1286	61864	1995	2019
1286	61879	1995	2019
1287	61825	1987	2019
1287	61860	1987	2019
1288	80012	1978	2019
1289	80022	1978	2019
1290	80014	1978	2019
1291	80026	1978	2019
1292	80011	1978	2019
1292	80028	1978	2019
1293	79993	1978	2019
1294	78049	1978	2019
1295	78061	1978	2019
1296	78069	1978	2019
1297	78073	1978	2019
1298	78050	1989	2019
1298	78056	1989	2019
1298	78057	1989	2019
1298	78063	1989	2019
1299	78065	1978	2019
1300	78054	1998	2019
1300	78058	1998	2019
1300	78067	1998	2019
1300	78068	1998	2019
1301	78053	1978	2019
1302	78048	1978	2019
1302	78052	1978	2019
1302	78055	1978	2019
1303	78064	1978	2019
1304	79994	1978	2019
1305	78074	1978	2019
1306	78075	1978	2019
1307	78062	1978	2019
1307	78066	1978	2019
1307	78070	1978	2019
1308	78071	1978	2019
1309	78060	1978	2019
1310	80013	1978	2019
1311	80019	1978	2019
1312	80009	2007	2019
1312	80010	2007	2019
1312	80018	2007	2019
1313	80000	1978	2019
1314	80006	1978	2019
